name	link	active	country	birthday	turnedPro	weight	height	lefty	oneHandedBackhand
"Quim Sorni Chavarria"	"/en/players/quim-sorni-chavarria/sy86/"	FALSE	"ESP"	"1997.04.02"	NA	NA	NA	NA	NA
"Constant De La Bassetiere"	"/en/players/constant-de-la-bassetiere/dg83/"	FALSE	"FRA"	"1998.01.22"	NA	"80kg"	"185cm"	"Right-Handed"	"Two-Handed Backhand"
"Roy Smith"	"/en/players/roy-smith/s0dh/"	TRUE	"USA"	"1998.09.13"	NA	"75kg"	"191cm"	"Left-Handed"	"Two-Handed Backhand"
"Lev Kazakov"	"/en/players/lev-kazakov/k0b5/"	FALSE	NA	"1998.09.18"	NA	"82kg"	"191cm"	"Right-Handed"	"Two-Handed Backhand"
"Savva Polukhin"	"/en/players/savva-polukhin/p0b6/"	TRUE	NA	"1998.11.19"	NA	NA	NA	NA	NA
"Sho Shimabukuro"	"/en/players/sho-shimabukuro/sy67/"	TRUE	"JPN"	"1997.07.30"	NA	"78kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Simen Sunde Bratholm"	"/en/players/simen-sunde-bratholm/b0a4/"	FALSE	"NOR"	"1999.03.04"	NA	NA	NA	"Right-Handed"	"Two-Handed Backhand"
"Andrew Korinek"	"/en/players/andrew-korinek/kc78/"	FALSE	"USA"	"1993.09.14"	NA	NA	NA	NA	NA
"Karl Friberg"	"/en/players/karl-friberg/f09j/"	TRUE	"SWE"	"1999.03.25"	NA	"85kg"	"191cm"	"Right-Handed"	"Two-Handed Backhand"
"Alexis Galarneau"	"/en/players/alexis-galarneau/gk06/"	TRUE	"CAN"	"1999.03.02"	NA	"79kg"	"180cm"	"Right-Handed"	"Two-Handed Backhand"
"Alessandro Ricci"	"/en/players/alessandro-ricci/r09s/"	FALSE	"CZE"	"1998.01.04"	NA	NA	NA	NA	NA
"Matthew Brooklyn"	"/en/players/matthew-brooklyn/bf22/"	FALSE	"GBR"	"1987.08.13"	NA	NA	NA	NA	NA
